,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
0,instagram.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,44.10571633583419,0,0.0,0,3,0.38461538461538464,5463.0,5463.0,445.0,0
1,abril.com.br,0,0,0,0.0,0.0,,,,,12,37.019550008653866,0,0.0,0,3,0.4166666666666667,,,,0
2,lequipe.fr,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,31.21928094887362,0,0.0,0,3,0.6,0.0,149.0,0.0,0
3,itools.cn,0,0,0,0.0,0.0,5.0,3.0,1.2649110640673518,0.7312256650662191,9,26.52932501298081,0,0.0,0,3,0.5555555555555556,,,,0
4,sap.com,0,0,0,0.0,0.0,,,,,7,19.651484454403235,0,0.0,0,2,0.42857142857142855,8888.0,8888.0,462.0,0
5,leetcode.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,34.26466250649041,0,0.0,0,3,0.3333333333333333,3235.0,3235.0,674.0,0
6,metropcs.mobi,0,0,0,0.0,0.0,,,,,13,44.10571633583421,0,0.0,0,2,0.6153846153846154,4744.0,4744.0,28.0,0
7,lenovo.com.cn,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,13,37.350828833670725,0,0.0,0,3,0.4615384615384616,,,,0
8,aparat.com,0,0,0,0.0,0.0,,,,,10,28.464393446710147,0,0.0,0,3,0.4,5984.0,5984.0,650.0,0
9,kayak.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,24.52932501298081,0,0.0,0,2,0.5555555555555556,8803.0,8803.0,941.0,0
10,uniqlo.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,10,31.21928094887362,0,0.0,0,2,0.6,7448.0,7448.0,362.0,0
11,xiaohongshu.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,15,51.84847143196429,0,0.0,0,3,0.5333333333333333,2733.0,2733.0,1667.0,0
12,tabnak.ir,0,0,0,0.0,0.0,,,,,9,26.52932501298081,0,0.0,0,3,0.4444444444444444,,,,0
13,irecommend.ru,0,0,0,0.0,0.0,,,,,13,42.1057163358342,0,0.0,0,3,0.6923076923076923,,,,0
14,adidas.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,29.21928094887362,0,0.0,0,2,0.6,8638.0,8638.0,237.0,0
15,google.by,0,0,0,0.0,0.0,,,,,9,24.52932501298081,0,0.0,0,2,0.6666666666666666,,,,0
16,imooc.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,9,19.774437510817343,0,0.0,0,3,0.3333333333333333,2417.0,2417.0,47.0,0
17,watchseries.do,0,0,0,0.0,0.0,,,,,14,49.30296890880647,0,0.0,0,3,0.42857142857142855,,,,0
18,tsite.jp,0,0,0,0.0,0.0,,,,,8,22.0,0,0.0,0,3,0.5,,,,0
