,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy
0,jquery.com,1,1,0,0.0,0.0
1,yjc.ir,0,0,0,0.0,0.0
2,miwifi.com,0,0,0,0.0,0.0
3,ubuntu.com,0,0,0,0.0,0.0
4,duckduckgo.com,0,0,0,0.0,0.0
5,news.com.au,0,0,0,0.0,0.0
6,readmanga.me,0,0,0,0.0,0.0
7,chinadaily.com.cn,0,0,0,0.0,0.0
8,alarabiya.net,0,0,0,0.0,0.0
9,ekantipur.com,0,0,0,0.0,0.0
10,clipconverter.cc,0,0,0,0.0,0.0
11,mob.com,0,0,0,0.0,0.0
12,ozee.com,0,0,0,0.0,0.0
13,kuwo.cn,0,0,0,0.0,0.0
14,buffer.com,0,0,0,0.0,0.0
15,cima4u.tv,0,0,0,0.0,0.0
16,google.it,0,0,0,0.0,0.0
17,kalerkantho.com,0,0,0,0.0,0.0
18,manyvids.com,0,0,0,0.0,0.0
19,awesomeforyou.club,0,0,0,0.0,0.0
20,overstock.com,0,0,0,0.0,0.0
21,sciencenet.cn,0,0,0,0.0,0.0
22,zdic.net,0,0,0,0.0,0.0
23,gmw.cn,18,56,81,0.8401250222879124,0.5126448748635702
24,spotscenered.info,0,0,0,0.0,0.0
25,netflix.com,0,0,0,0.0,0.0
26,google.com.pr,0,0,0,0.0,0.0
27,google.ie,0,0,0,0.0,0.0
28,google.com.ar,0,0,0,0.0,0.0
29,admarsai.com,0,0,0,0.0,0.0
30,alc.co.jp,0,0,0,0.0,0.0
31,koolearn.com,0,0,0,0.0,0.0
32,unicredit.it,0,0,0,0.0,0.0
33,fatosdesconhecidos.com.br,0,0,0,0.0,0.0
34,intoday.in,0,0,0,0.0,0.0
35,lequipe.fr,0,0,0,0.0,0.0
36,hdzog.com,0,0,0,0.0,0.0
37,muchong.com,0,0,0,0.0,0.0
38,vnexpress.net,0,0,0,0.0,0.0
39,filmfanatic.com,0,0,0,0.0,0.0
40,xbox.com,2,1,0,1.0,0.0
41,indianrail.gov.in,0,0,0,0.0,0.0
42,porn555.com,0,0,0,0.0,0.0
43,people.com.cn,33,89,8,0.5279303756678562,0.4035836092982308
44,forgeofempires.com,0,0,0,0.0,0.0
45,ctrip.com,0,0,0,0.0,0.0
46,iobit.com,2,1,0,1.0,0.0
47,nowcoder.com,0,0,0,0.0,0.0
48,championat.com,0,0,0,0.0,0.0
49,mediaset.it,0,0,0,0.0,0.0
50,104.com.tw,0,0,0,0.0,0.0
51,dawn.com,0,0,0,0.0,0.0
52,idealista.com,0,0,0,0.0,0.0
53,udacity.com,0,0,0,0.0,0.0
54,citi.com,0,0,0,0.0,0.0
55,vivo.com.cn,0,0,0,0.0,0.0
56,dropbox.com,0,0,0,0.0,0.0
57,blockchain.info,0,0,0,0.0,0.0
58,x48fly.com,0,0,0,0.0,0.0
59,streamcloud.eu,0,0,0,0.0,0.0
60,telegraph.co.uk,0,0,0,0.0,0.0
61,t-online.de,0,0,0,0.0,0.0
62,blackboard.com,0,0,0,0.0,0.0
63,barstoolsports.com,0,0,0,0.0,0.0
64,caffeinamagazine.it,0,0,0,0.0,0.0
65,livejasmin.com,0,0,0,0.0,0.0
66,qy.net,0,0,0,0.0,0.0
67,jikexueyuan.com,0,0,0,0.0,0.0
68,akoam.com,0,0,0,0.0,0.0
69,jianguoyun.com,0,0,0,0.0,0.0
70,wired.com,1,1,0,0.0,0.0
71,ranker.com,0,0,0,0.0,0.0
72,banesconline.com,0,0,0,0.0,0.0
73,wps.cn,0,0,0,0.0,0.0
74,blog.me,0,0,0,0.0,0.0
75,meetup.com,0,0,0,0.0,0.0
76,20minutos.es,0,0,0,0.0,0.0
77,58pic.com,0,0,0,0.0,0.0
78,ftchinese.com,0,0,0,0.0,0.0
79,blogspot.com,0,0,0,0.0,0.0
80,douban.com,3,4,0,0.0,0.75
81,jb51.net,11,9,12,1.0000000000000002,0.6666666666666666
82,processon.com,0,0,0,0.0,0.0
83,hjenglish.com,0,0,0,0.0,0.0
84,xuetangx.com,0,0,0,0.0,0.0
85,last.fm,0,0,0,0.0,0.0
86,mywatchseries.to,0,0,0,0.0,0.0
87,trackmedia101.com,0,0,0,0.0,0.0
88,frdic.com,0,0,0,0.0,0.0
89,google.com.cu,0,0,0,0.0,0.0
90,bt.com,0,0,0,0.0,0.0
91,iqoption.com,0,0,0,0.0,0.0
92,rajasthan.gov.in,0,0,0,0.0,0.0
93,mozilla.org,2,1,0,1.0,0.0
94,doc88.com,0,0,0,0.0,0.0
95,4chan.org,1,0,0,0.0,0.0
96,secureserver.net,0,0,0,0.0,0.0
97,xfinity.com,0,0,0,0.0,0.0
98,cnblogs.com,0,0,0,0.0,0.0
99,pplive.cn,0,0,0,0.0,0.0
100,okezone.com,0,0,0,0.0,0.0
101,sky.com,0,0,0,0.0,0.0
102,abril.com.br,0,0,0,0.0,0.0
103,google.ae,0,0,0,0.0,0.0
104,kissasian.com,0,0,0,0.0,0.0
105,schwab.com,0,0,0,0.0,0.0
106,softonic.com,0,0,0,0.0,0.0
107,td.com,0,0,0,0.0,0.0
108,piz7ohhujogi.com,0,0,0,0.0,0.0
109,deviantart.com,0,0,0,0.0,0.0
110,xunlei.com,177,43,472,0.6946062735573283,0.6635507625911409
111,mercadolibre.com.ve,0,0,0,0.0,0.0
112,imagebam.com,2,2,0,0.0,0.0
113,lenovo.com.cn,0,0,0,0.0,0.0
114,tradedoubler.com,0,0,0,0.0,0.0
115,upornia.com,0,0,0,0.0,0.0
116,kompas.com,0,0,0,0.0,0.0
117,guokr.com,0,0,0,0.0,0.0
118,asahi.com,4,1,0,1.0,0.0
119,letras.mus.br,0,0,0,0.0,0.0
120,xinhuanet.com,18,19,46,0.5783099690248164,0.6310964220776643
121,life.tw,0,0,0,0.0,0.0
122,alibaba.com,0,0,0,0.0,0.0
123,furaffinity.net,0,0,0,0.0,0.0
124,jjwxc.net,0,0,0,0.0,0.0
125,bamilo.com,0,0,0,0.0,0.0
126,valuecommerce.com,0,0,0,0.0,0.0
127,wanfangdata.com.cn,0,0,0,0.0,0.0
128,plarium.com,0,0,0,0.0,0.0
129,mlb.com,0,0,0,0.0,0.0
130,microsoftstore.com.cn,0,0,0,0.0,0.0
131,126.com,0,0,0,0.0,0.0
132,sap.com,0,0,0,0.0,0.0
133,spectrum.net,0,0,0,0.0,0.0
134,google.com.do,0,0,0,0.0,0.0
135,mama.cn,5,6,80,0.8277293767706428,0.8710490642551527
136,gamefaqs.com,0,0,0,0.0,0.0
137,ups.com,0,0,0,0.0,0.0
138,ele.me,0,0,0,0.0,0.0
139,behance.net,0,0,0,0.0,0.0
140,rt.com,0,0,0,0.0,0.0
141,smartisan.com,0,0,0,0.0,0.0
142,mehrnews.com,0,0,0,0.0,0.0
143,google.dk,0,0,0,0.0,0.0
144,china.org.cn,0,0,0,0.0,0.0
145,oppo.com,0,0,0,0.0,0.0
146,tilestwra.com,0,0,0,0.0,0.0
147,google.at,0,0,0,0.0,0.0
148,movieweb.com,0,0,0,0.0,0.0
149,watchseries.do,0,0,0,0.0,0.0
150,39.net,0,0,0,0.0,0.0
151,francetvinfo.fr,0,0,0,0.0,0.0
152,office.com,0,0,0,0.0,0.0
153,americanexpress.com,0,0,0,0.0,0.0
154,digitalocean.com,0,0,0,0.0,0.0
155,eol.cn,2,2,1,1.0,1.0
156,bzw315.com,0,0,0,0.0,0.0
157,hdfcbank.com,0,0,0,0.0,0.0
158,qoolquiz.com,0,0,0,0.0,0.0
159,globo.com,0,0,0,0.0,0.0
160,youdao.com,0,0,0,0.0,0.0
161,bhaskar.com,0,0,0,0.0,0.0
162,daikynguyenvn.com,0,0,0,0.0,0.0
163,elfagr.org,0,0,0,0.0,0.0
164,adidas.com,0,0,0,0.0,0.0
165,clixsense.com,0,0,0,0.0,0.0
166,pipeschannels.com,0,0,0,0.0,0.0
167,zhihu.com,0,0,0,0.0,0.0
168,lazada.co.th,0,0,0,0.0,0.0
169,irecommend.ru,0,0,0,0.0,0.0
170,webofknowledge.com,0,0,0,0.0,0.0
171,paypal.com,0,0,0,0.0,0.0
172,yaplakal.com,0,0,0,0.0,0.0
173,hamariweb.com,0,0,0,0.0,0.0
174,beeg.com,0,0,0,0.0,0.0
175,ci123.com,14,13,60,0.33193889189625314,0.7034726100551885
176,admaimai.com,0,0,0,0.0,0.0
177,immobilienscout24.de,0,0,0,0.0,0.0
178,gmx.net,0,0,0,0.0,0.0
179,fanserials.tv,0,0,0,0.0,0.0
180,shimo.im,0,0,0,0.0,0.0
181,rightmove.co.uk,0,0,0,0.0,0.0
182,kinja.com,0,0,0,0.0,0.0
183,protect-your-privacy.net,0,0,0,0.0,0.0
184,cqvip.com,0,0,0,0.0,0.0
185,jumei.com,0,0,0,0.0,0.0
186,fmovies.is,0,0,0,0.0,0.0
187,gsmarena.com,0,0,0,0.0,0.0
188,kknews.cc,0,0,0,0.0,0.0
189,isna.ir,0,0,0,0.0,0.0
