,domain,change_numbers,change_duration_mean,change_duration_std,change_amp,label
0,46sdzf3zdg1dxg2.us,1,2.0,0.0,2.5,1
1,rilibiao.com.cn,3,2.0,0.0,0.32170334674643675,1
2,osdn.net,4,2.0,0.0,0.0,1
3,388g.com,2,4.0,1.0,0.13857542661634104,1
4,hanvon.com,3,3.3333333333333335,1.247219128924647,0.31145788723511636,1
5,cibn.cc,4,2.5,0.5,2.7755575615628914e-17,1
6,liangchan.net,5,2.4,0.4898979485566356,0.3139811216068109,1
7,ufileos.com,5,2.2,0.39999999999999997,0.7757358636680953,1
8,5ibrz.com,3,2.3333333333333335,0.4714045207910317,1.1647385183375645,1
9,qswzayy.com,4,3.0,1.0,2.7755575615628914e-17,1
10,shreeramworld.com,3,2.0,0.0,0.5790660241435862,1
11,chickenkiller.com,7,2.0,0.0,0.2194360322766286,1
12,menww.com,1,6.0,0.0,3.8239946210688642,1
13,ad-lionmobi.com,4,3.0,0.0,-5.551115123125783e-17,1
14,tsdm.me,4,2.0,0.0,0.0,1
15,8684.cn,2,4.0,0.0,2.02734299503647,1
16,72zx.com,4,2.0,0.0,0.0,1
17,rutracker.cc,2,2.0,0.0,0.0,1
18,win8.net,3,2.0,0.0,0.3758041696153119,1
19,yy845.com,5,2.4,0.8,0.20184388775943346,1
20,jdhyjf.com,2,6.0,0.0,0.0,1
21,9xiu.com,3,2.0,0.0,0.46071227084812794,1
22,szprize.cn,5,2.0,0.0,0.31965065574318724,1
23,weebly.com,6,2.0,0.0,0.5506747622316962,1
24,6071.com,2,2.0,0.0,0.0,1
25,persiangig.com,2,3.0,0.0,0.0,1
26,btzoo.eu,4,2.75,0.82915619758885,1.053208134493096,1
27,lvsetxt.com,2,2.0,0.0,0.0,1
28,rootjl.com,2,2.0,0.0,0.0,1
29,12301.cc,1,3.0,0.0,4.875558865550736,1
30,port443.xyz,3,2.0,0.0,2.303140681628513,1
31,cnscg.com,6,2.0,0.0,0.790335622514421,1
32,xiangyuerom.com,2,2.0,0.0,0.0,1
33,rrurl.cn,3,2.0,0.0,1.4476650603589654,1
34,zbjimg.com,3,2.0,0.0,1.2401215819029754,1
35,jiamarket.com,1,2.0,0.0,3.752776749732568,1
36,iyouman.com,1,3.0,0.0,4.721685506374502,1
37,epicgames.com,2,2.5,0.5,3.352119050341078,1
38,explorads.com,2,2.0,0.0,0.0,1
39,longhoo.net,1,2.0,0.0,4.161198597819119,1
40,gotoip2.com,1,2.0,0.0,3.752776749732568,1
41,yuanzhe.me,1,2.0,0.0,4.161198597819119,1
42,spark-rostov.ru,1,2.0,0.0,3.752776749732568,1
43,voicefive.com,1,2.0,0.0,4.766031238193982,1
44,126.am,1,3.0,0.0,3.449841800822789,1
45,umeng.co,1,2.0,0.0,4.766031238193982,1
46,cdnvideo.ru,1,2.0,0.0,8.125,1
47,mg3721.com,1,2.0,0.0,3.45471102244277,1
48,000o.cc,1,2.0,0.0,5.790660241435861,1
49,fkvideo.cc,2,2.0,0.0,0.0,1
50,iuwzs.com,1,3.0,0.0,4.1442486349116985,1
51,manhuagui.com,3,2.0,0.0,0.8591392178613226,1
52,jwhss.com,0,0.0,0.0,0.0,1
53,xmcdn.com,2,2.0,0.0,0.0,1
54,1360.com,2,2.0,0.0,0.0,1
55,yunfancdn.com,2,2.0,0.0,0.0,1
56,leechers-paradise.org,2,2.0,0.0,0.0,1
57,fcbarcelona.com,0,0.0,0.0,0.0,1
58,ruubypay.com,4,2.0,0.0,1.1763791545979854,1
59,sharewithu.com,1,2.0,0.0,5.590451323113764,1
60,91danji.com,4,2.0,0.0,0.8417693160215265,1
61,msftconnecttest.com,2,2.0,0.0,0.0,1
62,aliyuncs.com,2,2.0,0.0,0.0,1
63,dfshurufa.com,2,2.0,0.0,0.0,1
64,go2yd.com,2,2.0,0.0,0.0,1
65,internetwarriors.net,2,2.0,0.0,0.0,1
66,yximgs.com,2,2.0,0.0,0.0,1
67,tujingdy.com,2,2.0,0.0,0.0,1
68,acgvideo.com,2,2.0,0.0,0.0,1
69,shanhu99.com,2,2.0,0.0,0.0,1
70,opentracker.xyz,2,2.0,0.0,0.0,1
71,lofter.com,2,2.0,0.0,0.0,1
72,trackerlist.xyz,2,2.0,0.0,0.0,1
73,parkingcrew.net,4,2.25,0.4330127018922193,0.6103293858627887,1
74,myoppo.com,2,2.0,0.0,0.0,1
75,elecfans.com,2,2.0,0.0,0.0,1
76,securestudies.com,2,2.0,0.0,0.0,1
77,sanguoq.com,4,2.0,0.0,0.0,1
78,xuanwu88.com,2,2.0,0.0,0.0,1
79,koowo.com,2,2.0,0.0,0.0,1
80,maihehd.com,2,2.0,0.0,0.0,1
81,acgtracker.com,2,2.0,0.0,0.0,1
82,kickasstracker.com,2,2.0,0.0,0.0,1
83,beijing-time.org,2,2.0,0.0,0.0,1
84,qcloudcdn.com,2,2.0,0.0,0.0,1
85,wkanx.com,2,2.0,0.0,0.0,1
86,hpplay.cn,2,2.0,0.0,0.0,1
87,rising.com.cn,2,2.0,0.0,0.0,1
88,ytjdl.com,2,2.0,0.0,0.0,1
89,trackerfix.com,2,2.0,0.0,0.0,1
90,kuai8.com,1,17.0,0.0,3.7002068306312337,1
91,qhcdn.com,2,2.0,0.0,0.0,1
92,fastapi.net,1,9.0,0.0,2.5008564782076554,1
93,wandoujia.com,2,2.0,0.0,0.0,1
94,dl1234.com,2,2.0,0.0,0.0,1
95,makesource.cool,3,3.6666666666666665,2.3570226039551585,1.1135068713349765,1
96,kkkkkdajlhlkjhsdewgtuv.com,2,8.5,5.5,1.169049240543188,1
97,haotukankan.com,2,2.0,0.0,0.0,1
98,glotorrents.pw,1,9.0,0.0,2.575458443843967,1
99,wagoo2.com,2,2.0,0.0,0.0,1
100,redirectme.net,2,3.5,0.5,0.20316314525887647,1
101,gllmh.com,4,2.25,0.4330127018922193,0.32664391172671553,1
102,imedao.com,2,8.0,2.0,0.8074326996444899,1
103,myjino.ru,7,2.0,0.0,0.4032030366332308,1
104,yiwanzhushou.com,2,2.0,0.0,0.0,1
105,downxia.com,1,11.0,0.0,2.7608218835936813,1
106,ccleaner.com,2,8.5,0.5,0.810926782166311,1
107,iyouxia.com,2,2.0,0.0,0.0,1
108,lfppt.com,3,2.0,0.0,0.9156100512743746,1
109,ohsoft.net,2,2.0,0.0,0.0,1
110,constantcontact.com,2,2.0,0.0,0.0,1
111,wareztorrent.com,2,2.0,0.0,0.0,1
112,6m5m.com,2,2.0,0.0,0.0,1
113,twcczhu.com,6,2.1666666666666665,0.3726779962499649,0.0804480090567508,1
114,googlecn.cc,2,2.0,0.0,0.0,1
115,veryamt.com,2,2.0,0.0,0.0,1
116,u33.cc,4,2.5,0.5,0.2679097205675045,1
117,haretahoo.science,2,2.0,0.0,0.0,1
118,ghost580.net,4,2.0,0.0,0.757870366393416,1
119,brother.co.jp,4,2.0,0.0,0.5283330721194135,1
120,fxxz.com,4,2.25,0.4330127018922193,0.8891604396424473,1
121,apxadtracking.net,1,9.0,0.0,2.75656738790502,1
122,tv002.com,2,2.0,0.0,0.0,1
123,pingan.com.cn,2,7.0,2.0,1.1338146301170124,1
