,domain,left_days,alive_days,update_days
0,tiepishihu.com,1764,1764,187
1,persiangig.com,5358,5358,258
2,bittor.pw,814,814,450
3,shanhu99.com,3077,3077,484
4,hinet.net,9191,9191,135
5,wxbgf.top,642,642,642
6,www.com,7502,7502,1698
7,testupdate.info,1383,1383,681
8,198174.com,1291,1291,200
9,ad-lionmobi.com,358,358,81
10,trafficforce.com,6960,6960,51
11,webcompanion.com,2720,2720,625
12,yunfancdn.com,1760,1760,73
13,made-in-china.com,7749,7749,122
14,qyhxhnt.com,1234,1234,240
15,12301.cc,2200,2200,131
16,zhouyi.cc,3480,3480,1764
17,anzhi.com,5790,5790,701
18,zampdsp.com,2779,2779,128
19,dl1234.com,2136,2136,221
20,upeer.me,336,336,276
21,bigestsafe.com,138,138,106
22,aralego.com,1585,1585,275
23,myaora.net,3315,3315,46
24,win8.net,2643,2643,2643
25,appchina.com,3538,3538,542
26,jiuyan.info,2769,2769,295
27,explorads.com,927,927,196
28,hao76.com,3061,3061,149
29,myoppo.com,3981,3981,204
30,acgtracker.com,1783,1783,19
31,1360.com,7690,7690,53
32,ys168.com,6661,6661,717
33,huatu.com,6495,6495,754
34,035x.com,2295,2295,36
35,136156.com,1651,1651,290
36,tinypic.com,5501,5501,155
37,vfe.cc,2588,2588,1370
38,anti-toolbar.com,2453,2453,261
39,aliyuncs.com,2603,2603,244
40,xdcdn.net,3418,3418,161
41,srvvtrk.com,593,593,227
42,qhcdn.com,2392,2392,222
43,poletracker.org,1299,1299,208
44,fastcdn.com,4779,4779,309
45,msftconnecttest.com,1870,1870,76
46,52pcgame.net,2028,2028,1082
47,dyndns.org,7483,7483,214
48,smartgslb.com,2559,2559,103
49,l-krak.com,151,151,142
50,crsky.com,6325,6325,1055
51,imgo.tv,3482,3482,535
52,sucaijishi.com,2239,2239,410
53,jwhss.com,1401,1401,277
54,3wk.cc,1862,1862,51
55,x81zw.com,1811,1811,343
56,ytjdl.com,1220,1220,543
57,97pd.com,1900,1900,68
58,xiazaiba.com,4091,4091,110
59,ahjem.com,1347,1347,257
60,beijing-time.org,3824,3824,47
61,heimi001.com,2016,2016,266
62,72zx.com,1980,1980,900
63,lightonus.com,2266,2266,74
64,77kpw.cc,1483,1483,1483
65,xunleige.com,1754,1754,126
66,3ds.com,8694,8694,340
67,baijia78.com,1215,1215,434
68,redirectme.net,6490,6490,1739
69,56.com,7614,7614,514
70,freedata.cc,676,676,285
71,legu.cc,2646,2646,951
72,ohsoft.net,2978,2978,704
73,maxthonimg.com,2722,2722,116
74,maccms.com,3608,3608,20
75,fcbarcelona.com,8299,8299,46
76,owengame.com,811,811,153
77,pornhub.com,6773,6773,81
78,qiniudn.com,2452,2452,890
79,makesource.cool,221,221,163
80,clouddn.com,1860,1860,390
81,3dxy.com,2009,2009,73
82,kmsactivate.com,59,59,38
83,yeah.net,7942,7942,114
84,com.com,8801,8801,1562
85,pornolab.net,4056,4056,38
86,advancemactools.com,152,152,152
87,glotorrents.pw,905,905,536
88,chlbiz.com,780,780,42
89,gs307.com,2620,2620,75
90,52e9.com,1258,1258,172
91,123juzi.net,2064,2064,268
92,hopto.org,7030,7030,837
93,f3322.net,2439,2439,306
94,juluoluo.com,1140,1140,244
95,xmcdn.com,2663,2663,1110
96,66vod.net,3202,3202,353
97,koowo.com,5031,5031,439
98,7068.cc,2431,2431,354
