,domain,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio
0,gs307.com,9,28.529325012980813,3,0.3333333333333333,1,2,0.3333333333333333
1,constantcontact.com,19,53.20084775110119,0,0.0,0,3,0.42105263157894735
2,6m5m.com,8,19.24511249783653,2,0.25,2,2,0.5
3,clewm.net,9,26.529325012980813,0,0.0,0,2,0.4444444444444444
4,f3322.net,9,24.529325012980813,4,0.4444444444444444,1,2,0.3333333333333333
5,pow7.com,8,22.0,1,0.125,1,2,0.375
6,dl1234.com,10,33.219280948873624,4,0.4,1,2,0.3
7,tjj.com,7,17.651484454403235,0,0.0,0,2,0.5714285714285714
8,mininova.org,12,37.01955000865388,0,0.0,0,2,0.6666666666666666
9,fionades.com,12,41.01955000865387,0,0.0,0,3,0.4166666666666667
10,pengpengla.com,14,45.30296890880647,0,0.0,0,4,0.2857142857142857
11,monocul.us,10,29.21928094887362,0,0.0,0,2,0.6
12,liangchan.net,13,41.350828833670725,0,0.0,0,3,0.38461538461538464
13,3ds.com,7,19.651484454403235,1,0.14285714285714285,1,2,0.42857142857142855
14,umeng.co,8,24.0,0,0.0,0,3,0.5
15,omsk.ru,7,19.651484454403235,0,0.0,0,2,0.5714285714285714
16,oocities.org,12,36.26466250649041,0,0.0,0,3,0.5
17,reyesleon.xyz,13,41.350828833670725,0,0.0,0,3,0.38461538461538464
18,rootjl.com,10,28.46439344671015,0,0.0,0,3,0.4
19,mg3721.com,10,31.21928094887362,4,0.4,1,2,0.3
20,fireemblem.net,14,43.30296890880647,0,0.0,0,3,0.42857142857142855
21,cr173.com,9,26.529325012980813,3,0.3333333333333333,1,2,0.3333333333333333
22,free.fr,7,13.651484454403231,0,0.0,0,2,0.5714285714285714
23,xiangyuerom.com,15,54.60335893412778,0,0.0,0,4,0.3333333333333333
24,sdg-china.com,13,46.10571633583419,0,0.0,0,3,0.38461538461538464
25,jianke.com,10,33.219280948873624,0,0.0,0,3,0.4
26,cctianhong.com,14,44.548081406643,0,0.0,0,4,0.2857142857142857
27,zmeng123.com,12,41.01955000865387,3,0.25,1,3,0.3333333333333333
28,bangwo8.net,11,36.05374780501027,1,0.09090909090909091,1,3,0.36363636363636365
29,newasp.net,10,29.21928094887362,0,0.0,0,3,0.3
30,yunfancdn.com,13,41.350828833670725,0,0.0,0,4,0.23076923076923078
31,cdnvideo.ru,11,36.05374780501027,0,0.0,0,3,0.45454545454545453
32,myaora.net,10,31.21928094887362,0,0.0,0,4,0.3
33,maccms.com,10,23.709505944546684,0,0.0,0,3,0.3
34,camoe.cn,8,22.0,0,0.0,0,2,0.5
35,51ckm.com,9,24.529325012980813,2,0.2222222222222222,1,2,0.3333333333333333
36,gotoip55.com,12,36.26466250649041,2,0.16666666666666666,1,4,0.25
37,l-krak.com,10,31.21928094887362,0,0.0,0,3,0.4
38,xzw.com,7,19.651484454403235,0,0.0,0,3,0.42857142857142855
39,dreamsearch.or.kr,17,55.48686830125578,0,0.0,0,4,0.35294117647058826
40,97ting.com,10,33.219280948873624,2,0.2,1,2,0.4
41,com.com,7,13.651484454403231,0,0.0,0,1,0.8571428571428571
42,ctags.cn,8,22.0,0,0.0,0,2,0.625
43,kaopu001.com,12,39.01955000865387,3,0.25,1,3,0.25
44,maxthonimg.com,14,46.548081406643,0,0.0,0,3,0.5
45,mlinks.cc,9,26.529325012980813,0,0.0,0,3,0.5555555555555556
46,internetwarriors.net,20,62.17389939125684,0,0.0,0,3,0.4
47,yezhulu.cc,10,29.21928094887362,0,0.0,0,3,0.4
48,xiazaicc.com,12,34.26466250649041,0,0.0,0,4,0.3333333333333333
49,sgshurufa.com,13,44.10571633583419,0,0.0,0,4,0.3076923076923077
50,6sq.net,7,19.651484454403235,1,0.14285714285714285,1,2,0.42857142857142855
51,oray.net,8,24.0,0,0.0,0,3,0.5
52,bidcenter.com.cn,16,53.24511249783653,0,0.0,0,4,0.375
53,imgo.tv,7,19.651484454403235,0,0.0,0,2,0.5714285714285714
54,maccms.net,10,29.21928094887362,0,0.0,0,3,0.3
55,so9.cc,6,13.509775004326936,1,0.16666666666666666,1,2,0.3333333333333333
56,jiamarket.com,13,44.10571633583419,0,0.0,0,3,0.46153846153846156
57,9ht.com,7,19.651484454403235,1,0.14285714285714285,1,2,0.42857142857142855
58,gezila.com,10,33.219280948873624,0,0.0,0,3,0.4
59,12317wan.com,12,41.01955000865387,5,0.4166666666666667,1,2,0.25
60,xfplay.com,10,33.219280948873624,0,0.0,0,2,0.7
61,ctdns.net,9,24.529325012980813,0,0.0,0,3,0.3333333333333333
62,zbjimg.com,10,31.21928094887362,0,0.0,0,3,0.4
63,filetracker.pl,14,47.30296890880647,0,0.0,0,3,0.5
64,shreeramworld.com,17,58.73198079909232,0,0.0,0,3,0.47058823529411764
65,xyimg.net,9,28.529325012980813,0,0.0,0,3,0.3333333333333333
66,ali213.net,10,33.219280948873624,3,0.3,1,2,0.3
67,wicp.net,8,24.0,0,0.0,0,2,0.5
68,xmcdn.com,9,24.529325012980813,0,0.0,0,3,0.4444444444444444
69,go2yd.com,9,26.529325012980813,1,0.1111111111111111,1,3,0.3333333333333333
70,02wq.com,8,24.0,2,0.25,1,2,0.375
71,lotour.net,10,29.21928094887362,0,0.0,0,3,0.3
72,ccgslb.net,10,31.21928094887362,0,0.0,0,3,0.4
73,ibzu.me,7,19.651484454403235,0,0.0,0,3,0.42857142857142855
74,vpgcdn.com,10,31.21928094887362,0,0.0,0,3,0.3
75,tinypic.com,11,34.05374780501027,0,0.0,0,3,0.36363636363636365
76,x81zw.com,9,28.529325012980813,2,0.2222222222222222,1,3,0.3333333333333333
77,ezwebtest.com,13,41.350828833670725,0,0.0,0,3,0.5384615384615384
78,khoaf.com,9,26.529325012980813,0,0.0,0,2,0.4444444444444444
79,survey-smiles.com,17,60.73198079909232,0,0.0,0,3,0.4117647058823529
80,glotorrents.pw,14,47.30296890880647,0,0.0,0,3,0.5714285714285714
81,13143.org,9,24.529325012980813,5,0.5555555555555556,1,1,0.3333333333333333
82,iuwzs.com,9,28.529325012980813,0,0.0,0,4,0.3333333333333333
83,51wady.com,10,33.219280948873624,2,0.2,1,2,0.4
84,dyndns.org,10,29.21928094887362,0,0.0,0,2,0.6
85,iyouman.com,11,34.05374780501027,0,0.0,0,4,0.2727272727272727
86,ddooo.com,9,18.529325012980813,0,0.0,0,3,0.3333333333333333
87,klm123.com,10,31.21928094887362,3,0.3,1,2,0.3
88,skynetcloud.tk,14,49.30296890880647,0,0.0,0,3,0.42857142857142855
89,jj.cn,5,9.60964047443681,0,0.0,0,2,0.4
90,daheit.cc,9,26.529325012980813,0,0.0,0,4,0.2222222222222222
91,clouddn.com,11,32.05374780501027,0,0.0,0,3,0.45454545454545453
92,nrich.ai,8,22.0,0,0.0,0,3,0.625
93,9377.com,8,22.0,4,0.5,1,1,0.375
94,uzzf.com,8,22.0,0,0.0,0,3,0.375
95,h4ck.me,7,19.651484454403235,1,0.14285714285714285,1,3,0.2857142857142857
96,weebly.com,10,31.21928094887362,0,0.0,0,3,0.5
97,myoppo.com,10,24.464393446710154,0,0.0,0,3,0.4
98,zampdsp.com,11,34.05374780501027,0,0.0,0,4,0.2727272727272727
99,ifengcdn.com,12,39.01955000865388,0,0.0,0,4,0.25
100,kousou.cc,9,22.529325012980813,0,0.0,0,3,0.3333333333333333
101,jxnews.com.cn,13,42.105716335834195,0,0.0,0,3,0.5384615384615384
102,sucaijishi.com,14,44.548081406643,0,0.0,0,4,0.35714285714285715
103,fcbarcelona.com,15,49.848471431964306,0,0.0,0,3,0.6
104,cibn.cc,7,14.896596952239765,0,0.0,0,2,0.42857142857142855
105,crsky.com,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
106,huatu.com,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
107,cn.com,6,13.509775004326936,0,0.0,0,2,0.5
108,ccarting.com,12,38.26466250649041,0,0.0,0,3,0.5833333333333334
109,dler.org,8,22.0,0,0.0,0,2,0.5
110,bt.co,5,11.60964047443681,0,0.0,0,2,0.4
111,z8q.cc,6,13.509775004326936,1,0.16666666666666666,1,2,0.5
112,9xiu.com,8,24.0,1,0.125,1,2,0.375
113,xueyanshan.com,14,49.30296890880647,0,0.0,0,4,0.42857142857142855
114,iwan4399.com,12,41.01955000865387,4,0.3333333333333333,1,2,0.3333333333333333
115,lfppt.com,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
116,zyiis.net,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
117,rising.com.cn,13,40.105716335834195,0,0.0,0,3,0.46153846153846156
118,jiuyan.info,11,34.05374780501027,0,0.0,0,3,0.36363636363636365
119,orsoon.com,10,25.21928094887362,0,0.0,0,3,0.4
120,longhoo.net,11,31.298860302846798,0,0.0,0,3,0.36363636363636365
121,aralego.com,11,34.05374780501027,0,0.0,0,2,0.6363636363636364
122,cnscg.com,9,23.774437510817343,0,0.0,0,2,0.4444444444444444
123,3001.net,8,22.0,4,0.5,1,1,0.375
124,yy845.com,9,26.529325012980813,3,0.3333333333333333,1,2,0.3333333333333333
125,wareztorrent.com,16,53.24511249783653,0,0.0,0,3,0.4375
126,12301.cc,8,20.0,5,0.625,1,1,0.25
127,daum.net,8,24.0,0,0.0,0,1,0.875
128,ohsoft.net,10,29.21928094887362,0,0.0,0,2,0.7
129,weico.cc,8,19.24511249783653,0,0.0,0,3,0.5
130,happy-host.com,14,47.30296890880647,0,0.0,0,3,0.35714285714285715
