,domain,change_numbers,change_duration_mean,change_duration_std,change_amp,label
0,washingtonpost.com,3,2.0,0.0,0.7516083392306235,0
1,linuxidc.com,3,2.3333333333333335,0.4714045207910317,1.3696356726888634,0
2,wired.com,2,2.0,0.0,0.0,0
3,archiveofourown.org,3,2.0,0.0,0.6705664989726873,0
4,clipconverter.cc,4,2.0,0.0,0.7821680458908702,0
5,newegg.com,2,2.5,0.5,0.7896354874685264,0
6,udacity.com,2,2.0,0.0,0.0,0
7,juejin.im,4,2.5,0.5,0.46783176052312325,0
8,secureserver.net,2,2.0,0.0,0.0,0
9,slate.com,2,2.0,0.0,0.0,0
10,java.com,3,2.0,0.0,0.8604932600219989,0
11,siteadvisor.com,0,0.0,0.0,0.0,0
12,bzw315.com,2,2.0,0.0,0.0,0
13,americanexpress.com,1,2.0,0.0,3.7527767497325675,0
14,rightmove.co.uk,3,2.0,0.0,0.47923845147079297,0
15,dropbox.com,2,2.0,0.0,0.0,0
16,dawn.com,2,2.0,0.0,0.0,0
17,jianshu.com,3,2.0,0.0,0.7713537590513132,0
18,dailymail.co.uk,1,2.0,0.0,5.790660241435861,0
19,xhamster.com,1,2.0,0.0,4.161198597819119,0
20,telegraph.co.uk,3,2.0,0.0,0.6764230861423345,0
21,skype.com,1,2.0,0.0,3.45471102244277,0
22,spiceworks.com,0,0.0,0.0,0.0,0
23,plex.tv,3,2.0,0.0,0.4889014892737346,0
24,usatoday.com,3,2.0,0.0,0.4919163266187081,0
25,express.co.uk,1,2.0,0.0,3.752776749732568,0
26,piriform.com,2,4.0,0.0,0.004082104019233368,0
27,kooora.com,2,2.0,0.0,2.8646789772569448,0
28,ibaotu.com,5,2.0,0.0,0.3055653215694745,0
29,ancestry.com,0,0.0,0.0,0.0,0
30,admaimai.com,0,0.0,0.0,0.0,0
31,wps.cn,2,2.0,0.0,0.0,0
32,jd.com,2,2.0,0.0,0.0,0
33,jianguoyun.com,2,2.0,0.0,0.0,0
34,alibaba.com,2,2.0,0.0,0.0,0
35,uc.cn,2,2.0,0.0,0.0,0
36,ftchinese.com,2,2.0,0.0,0.0,0
37,sina.com.cn,2,2.0,0.0,0.0,0
38,bilibili.com,2,2.0,0.0,0.0,0
39,mob.com,2,2.0,0.0,0.0,0
40,meizu.com,2,2.0,0.0,0.0,0
41,smartisan.com,2,2.0,0.0,0.0,0
42,google.com,2,2.0,0.0,0.0,0
43,51job.com,2,2.0,0.0,0.0,0
44,msn.com,2,2.0,0.0,0.0,0
45,frdic.com,2,2.0,0.0,0.0,0
46,xiami.com,2,2.0,0.0,0.0,0
47,zhihu.com,2,2.0,0.0,0.0,0
48,1688.com,2,2.0,0.0,0.0,0
49,mafengwo.cn,2,2.0,0.0,0.0,0
50,xiaohongshu.com,2,2.0,0.0,0.0,0
51,qy.net,2,2.0,0.0,0.0,0
52,yy.com,2,2.0,0.0,0.0,0
53,godaddy.com,2,2.0,0.0,0.0,0
54,youth.cn,2,2.0,0.0,0.0,0
55,cnblogs.com,2,2.0,0.0,0.0,0
56,pptv.com,2,2.0,0.0,0.0,0
57,adidas.com,0,0.0,0.0,0.0,0
58,chess.com,3,2.0,0.0,0.7865821817540345,0
59,w3cschool.cn,3,2.0,0.0,0.7516083392306235,0
60,wanfangdata.com.cn,2,2.0,0.0,0.0,0
61,xinhuanet.com,2,2.0,0.0,0.0,0
62,miwifi.com,2,2.0,0.0,0.0,0
63,ximalaya.com,2,2.0,0.0,0.0,0
64,youdao.com,2,2.0,0.0,0.0,0
65,people.com.cn,2,2.0,0.0,0.0,0
66,microsoft.com,2,2.0,0.0,0.0,0
67,lenovo.com.cn,2,2.0,0.0,0.0,0
68,weibo.com,2,2.0,0.0,0.0,0
69,china.org.cn,2,2.0,0.0,0.0,0
70,chinadaily.com.cn,2,2.0,0.0,0.0,0
71,vivo.com.cn,2,2.0,0.0,0.0,0
72,ubuntu.com,2,2.0,0.0,0.0,0
73,xunlei.com,2,2.0,0.0,0.0,0
74,iciba.com,2,2.0,0.0,0.0,0
75,webofknowledge.com,2,2.0,0.0,0.0,0
76,apple.com,2,2.0,0.0,0.0,0
77,time-weekly.com,2,2.0,0.0,0.0,0
78,dzwww.com,2,2.0,0.0,0.0,0
79,xiaomi.com,2,2.0,0.0,0.0,0
80,renren.com,2,2.0,0.0,0.0,0
81,teamviewer.com,2,2.0,0.0,0.0,0
82,qunar.com,2,2.0,0.0,0.0,0
83,dianping.com,2,2.0,0.0,0.0,0
